年齢【歳】	勤続年数【年】	所定内実労働時間数【時間】	超過実労働時間数【時間】	きまって支給する現金給与額【千円】	所定内給与額【千円】	年間賞与その他特別給与額【千円】	労働者数【十人】	code	label	year	salary	working_time
41.6	10.1	172	11	256.3	239.8	410.3	41039	I58	飲食料品小売業	2012	3485.9	183
38	12.8	171	12	316.1	294.6	816.8	38744	I59	機械器具小売業	2012	4610	183
39.5	10	172	9	282.3	266.3	575.7	50541	I60	その他の小売業	2012	3963.3	181
35.9	7.4	165	12	295.8	272.1	527.9	4545	I61	無店舗小売業	2012	4077.5	177
41.4	13.6	153	12	396.9	366.8	1316.7	95260	J	金融業，保険業	2012	6079.5	165
38.7	14.2	155	19	420.9	371.4	1554.5	31275	J62	銀行業	2012	6605.3	174
39.2	16	160	9	339.9	319.1	1205.7	13640	J63	協同組織金融業	2012	5284.5	169
41.1	13.9	154	13	393.2	362	1400.4	5199	J64	貸金業，クレジットカード業等非預金信用機関	2012	6118.8	167
39.4	12.5	157	14	546.1	510.3	1767.2	7945	J65	金融商品取引業，商品先物取引業	2012	8320.4	171
44.2	12.9	151	8	386.1	365.5	1264.6	1437	J66	補助的金融業等	2012	5897.8	159
44.8	12.3	147	7	365.6	349.9	1040.9	35765	J67	保険業(保険媒介代理業,保険サービス業を含む)	2012	5428.1	154
42.5	9.7	165	11	333.2	310.8	874.6	30949	K	不動産業，物品賃貸業	2012	4873	176
38.7	8.5	168	10	372.2	351.1	1025.4	7622	K68	不動産取引業	2012	5491.8	178
46.6	9.1	161	9	309.7	290.5	731.6	12061	K69	不動産賃貸業・管理業	2012	4448	170
40.6	11.2	168	14	332.1	305.4	925.8	11265	K70	物品賃貸業	2012	4911	182
41.6	12.9	161	13	399	368.5	1189.8	74401	L	学術研究，専門・技術サービス業	2012	5977.8	174
41.8	15.1	158	13	461.3	425.9	1802.5	23027	L71	学術・開発研究機関	2012	7338.1	171
40.3	9.7	164	10	386.8	363.1	891.1	12690	L72	専門サービス業（他に分類されないもの）	2012	5532.7	174
38.6	10.2	158	10	417.7	389.7	847.6	5691	L73	広告業	2012	5860	168
42.4	13	162	15	357.1	326.8	936.1	32993	L74	技術サービス業(他に分類されないもの）	2012	5221.3	177
40.7	8.4	174	12	254.4	235.2	271.2	55125	M	宿泊業，飲食サービス業	2012	3324	186
41.5	8.8	171	11	247	230.1	242.7	22809	M75	宿泊業	2012	3206.7	182
38.9	8.3	176	14	269.4	246.8	289.1	24338	M76	飲食店	2012	3521.9	190
44.2	8	173	11	229.8	214.2	297.8	7977	M77	持ち帰り・配達飲食サービス業	2012	3055.4	184
38.6	8.4	171	8	264.2	250.7	390.1	50864	N	生活関連サービス業，娯楽業	2012	3560.5	179
38.5	7.9	175	7	225.5	215.9	192.4	13018	N78	洗濯・理容・美容・浴場業	2012	2898.4	182
40.6	9.7	167	11	290.1	270.5	560.4	11591	N79	その他の生活関連サービス業	2012	4041.6	178
37.8	8	170	7	271.9	259.1	412.9	26255	N80	娯楽業	2012	3675.7	177
43.1	12.2	163	5	397.5	386.5	1389.1	63448	O	教育，学習支援業	2012	6159.1	168
43.8	12.6	163	4	416.9	408.2	1551.6	52299	O81	学校教育	2012	6554.4	167
39.7	10.2	165	12	306.3	284.5	626.7	11148	O82	その他の教育，学習支援業	2012	4302.3	177
39.9	7.7	164	6	295.7	274.4	660.4	315080	P	医療，福祉	2012	4208.8	170
39.3	8.3	162	8	340.1	309.9	731.6	171611	P83	医療業	2012	4812.8	170
42.4	11.6	166	10	340.6	322.9	909.4	1721	P84	保健衛生	2012	4996.6	176
40.6	6.9	166	4	241.4	230.8	571.1	141747	P85	社会保険・社会福祉・介護事業	2012	3467.9	170
