year	sex	age	age_label	general_manager	manager	chief_clerk	foreman	non_title	regular	non_regular	total_worker	general_manager_ratio	manager_ratio	chief_clerk_ratio	foreman_ratio	non_title_ratio	regular_ratio	non_regular_ratio	regular_total_ratio	non_regular_total_ratio	pop_worker	employed	unemployed
2012	F	70	70歳〜	9		17		658	1838	1171	3009	8.333333333	0	80.95238095	0	41.54040404	28.21614983	29.70573313	17.57842387	11.1993114	8.7	8.6	0.9
2011	F	15	〜19歳					3664	5308	1125	6433					35.05549177	35.61221067	49.49406071	30.89998836	6.549074397	14.9	13.8	7.1
2011	F	20	20〜24歳		1	13	38	42603	62548	11115	73663	0	5.263157895	28.88888889	25.5033557	44.17107309	46.58236144	56.62540119	40.64118308	7.222081441	68.2	63.5	6.9
2011	F	25	25〜29歳	10	26	299	67	55967	80658	16095	96753	22.72727273	11.11111111	25.3820034	9.824046921	37.92136164	37.981908	53.91598553	33.30071714	6.645032637	77.4	72.6	5.7
2011	F	30	30〜34歳	48	343	1329	96	43852	67510	15852	83362	18.25095057	15.73394495	17.86530448	3.818615752	32.53622597	30.17800148	55.17961571	26.74362408	6.279661218	67.5	64.1	4.7
2011	F	35	35〜39歳	108	755	2184	144	40886	66477	16281	82758	8.962655602	8.843856156	13.36679111	2.745471878	30.41456829	25.96392695	58.22336659	23.40747679	5.732766665	67.1	64.1	4.2
2011	F	40	40〜44歳	228	1227	2504	153	35000	58778	16526	75304	6.955460647	6.475959255	15.01199041	3.165735568	32.79979008	25.17927672	64.55973123	22.69105453	6.379808212	70.8	67.6	4.5
2011	F	45	45〜49歳	200	1532	1969	170	28958	52370	17406	69776	2.587322122	7.300452704	15.67300804	4.994124559	35.20130312	26.00814462	69.37425269	23.126518	7.686465003	75.8	72.9	3.8
2011	F	50	50〜54歳	536	1431	1396	138	24910	46705	15511	62216	4.572988653	8.490566038	16.26660452	5.948275862	35.55574587	26.30348836	66.07736219	23.23215742	7.715533536	72.5	70.1	3.0
2011	F	55	55〜59歳	435	947	830	85	20774	38580	14354	52934	4.710341094	8.917977211	14.80292492	4.150390625	31.33286074	24.4874643	55.12288786	21.01421646	7.818508633	63.7	62.0	2.8
2011	F	60	60〜64歳	210	192	47	14	6817	16774	13491	30265	13.15789474	18.46153846	9.894736842	15.55555556	30.17039168	24.86547384	28.30319305	14.57024973	11.71856678	46.1	44.6	3.4
2011	F	65	65〜69歳	19	3	3	1	1332	3542	2577	6119	7.011070111	8.571428571	6.382978723	25	30.45963869	25.80692168	27.04376115	15.23178808	11.08196439	27.6	27.1	1.8
2011	F	70	70歳〜	12				454	1578	930	2508	14.45783133	0	0	0	38.73720137	29.90902199	32.15767635	19.31929481	11.38589618	8.7	8.6	-
2010	F	15	〜19歳					4168	6180	1127	7307				0	33.19792911	35.16958798	53.61560419	31.41201586	5.728372471	15.9	14.6	8.5
2010	F	20	20〜24歳		18	21	17	43258	64824	11772	76596		78.26086957	22.10526316	16.19047619	43.60641526	46.34489859	56.96312784	40.37897333	7.332797638	69.4	63.6	7.9
2010	F	25	25〜29歳	7	67	391	52	56033	81041	16308	97349	46.66666667	21.06918239	28.00859599	6.641123883	37.4117003	37.37088206	53.80757556	32.78835105	6.598048259	77.1	72.7	6.1
2010	F	30	30〜34歳	20	380	1224	80	42190	64420	16300	80720	4.750593824	17.10941018	15.31723189	2.996254682	30.63039517	28.09750821	56.59132729	24.96163921	6.315968939	67.8	64.1	5.4
2010	F	35	35〜39歳	117	546	1920	193	40276	64446	16650	81096	8.904109589	5.826485967	10.53266773	4.248294079	29.75165098	24.77948923	61.01583113	22.42645268	5.794004858	66.2	62.6	5.4
